Year,Survey,Catch,Survey coefficient of variation
1968.00,3778198.00,132644.10,0.16
1969.00,2837497.00,218126.00,0.38
1970.00,2945683.00,289600.70,0.32
1971.00,3956330.00,347492.10,0.42
1972.00,2836570.00,365865.90,0.19
1973.00,1726391.00,370728.10,0.24
1974.00,1067304.00,364977.20,0.14
1975.00,1412557.00,344128.70,0.33
1976.00,1004614.00,323494.10,0.33
1977.00,998526.90,290822.00,0.20
1978.00,581754.30,265794.90,0.33
1979.00,689835.30,239740.70,0.32
1980.00,712721.40,208760.00,0.36
1981.00,456237.70,188571.80,0.33
1982.00,464911.20,157221.60,0.52
1983.00,304237.90,133290.40,0.25
1984.00,314394.20,112337.10,0.16
1985.00,343697.10,100030.20,0.26
1986.00,202816.10,90160.89,0.05
1987.00,316449.70,83200.25,0.28
1988.00,259282.50,75653.75,0.24
1989.00,243725.60,71108.91,0.21
1990.00,313590.50,67763.57,0.30
1991.00,202884.90,65168.02,0.30
1992.00,282200.70,61859.27,0.44
1993.00,242249.30,59840.44,0.39
1994.00,433687.60,59759.38,0.23
1995.00,313873.00,57994.76,0.51
1996.00,296666.10,56213.30,0.34
1997.00,494621.10,31615.09,0.41
1998.00,313196.70,36537.50,0.57
1999.00,530363.80,41745.39,0.21
2000.00,581942.10,46927.66,0.36
2001.00,690403.90,51641.16,0.40
2002.00,808796.10,56635.95,0.19
2003.00,897258.60,62071.73,0.44
2004.00,1049574.00,66307.94,0.26
2005.00,1039894.00,72304.31,0.22
2006.00,1073984.00,77336.56,0.19
2007.00,824641.30,81450.02,0.36
2008.00,1354107.00,85369.47,0.19
2009.00,1406975.00,91116.33,0.26
2010.00,1153917.00,94006.62,0.33
2011.00,1692651.00,97458.90,0.31
2012.00,970448.00,100858.80,0.28
2013.00,1407993.00,103602.70,0.29
2014.00,755819.20,107749.30,0.37
2015.00,1388377.00,108784.00,0.16
2016.00,1088241.00,113372.10,0.26
